Duration,Pulse,Maxpulse,Calories,Date,Gender
20,151,168,229.4,4/6/2023,Male
30,95,128,128.2,4/7/2023,Male
25,152,168,244.2,4/8/2023,Male
30,109,131,188.2,4/9/2023,Male
90,93,124,604.1,4/10/2023,Male
20,95,112,77.7,4/11/2023,Male
90,90,110,500,4/12/2023,Female
90,90,100,500,4/13/2023,Female
90,90,100,500.4,4/14/2023,Female
30,92,108,92.7,4/15/2023,Female
30,93,128,124,4/16/2023,Female
180,90,120,800.3,4/17/2023,Female
30,90,120,86.2,4/18/2023,Female
90,90,120,500.3,4/19/2023,Female
210,137,184,1860.4,4/20/2023,Female
60,102,124,325.2,4/21/2023,Female
45,107,124,275,4/22/2023,Female
15,124,139,124.2,4/23/2023,Female
45,100,120,225.3,4/24/2023,Female
60,108,131,367.6,4/25/2023,Female
60,108,151,351.7,4/26/2023,Female
60,116,141,443,4/27/2023,Female
60,97,122,277.4,4/28/2023,Female
60,105,125,,4/29/2023,Female
60,103,124,332.7,4/30/2023,Female
30,112,137,193.9,5/1/2023,Female
45,100,120,100.7,5/2/2023,Male
60,119,169,336.7,5/3/2023,Male
60,107,127,344.9,5/4/2023,Male
60,111,151,368.5,5/5/2023,Male
60,98,122,271,5/6/2023,Male
60,97,124,275.3,5/7/2023,Male
60,109,127,382,5/8/2023,Male
90,99,125,466.4,5/9/2023,Male
60,114,151,384,5/10/2023,Male
60,104,134,342.5,5/11/2023,Male
60,107,138,357.5,5/12/2023,Male
60,103,133,335,5/13/2023,Male
60,106,132,327.5,5/14/2023,Male
60,103,136,339,5/15/2023,Male
20,136,156,189,5/16/2023,Male
45,117,143,317.7,5/17/2023,Male
45,115,137,318,5/18/2023,Male
45,113,138,308,5/19/2023,Male
20,141,162,222.4,5/20/2023,Male
60,108,135,390,5/21/2023,Male
60,97,127,,5/22/2023,Male
45,100,120,250.4,5/23/2023,Male
45,122,149,335.4,5/24/2023,Male
60,136,170,470.2,5/25/2023,Male
45,106,126,270.8,5/26/2023,Male
60,107,136,400,5/27/2023,Male
60,112,146,361.9,5/28/2023,Male
30,103,127,185,5/29/2023,Male
60,110,150,409.4,5/30/2023,Male
60,106,134,343,5/31/2023,Male
60,109,129,353.2,6/1/2023,Male
60,109,138,374,6/2/2023,Male
30,150,167,275.8,6/3/2023,Male
60,105,128,328,6/4/2023,Male
60,111,151,368.5,6/5/2023,Male
60,97,131,270.4,6/6/2023,Male
60,100,120,270.4,6/7/2023,Male
60,114,150,382.8,6/8/2023,Male
30,80,120,240.9,6/9/2023,Male
30,85,120,250.4,6/10/2023,Male
45,90,130,260.4,6/11/2023,Male
45,95,130,270,6/12/2023,Male
45,100,140,280.9,6/13/2023,Male
60,105,140,290.8,6/14/2023,Female
60,110,145,300,6/15/2023,Female
60,115,145,310.2,6/16/2023,Female
75,120,150,320.4,6/17/2023,Female
75,125,150,330.4,6/18/2023,Female
60,98,123,275,6/19/2023,Male
